time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
308736,394,783,603,0.00025,-0.9130816757678986,3.590100049972534,-0.013732969760894775,0.26904296875,0.09748863661661744,0.06312409,0.2,0.8460734486579895,129.64,2408,-0.021060173225123435,,
309248,394,784,604,0.00025,-0.822007343173027,3.5863003730773926,-0.05915481969714165,0.1806640625,0.013805693553877063,0.044269405,0.2,0.931628942489624,129.12,2412,-0.014215458882972598,,
309760,394,786,605,0.00025,-0.8606052473187447,3.583199977874756,-0.029948359355330467,0.19091796875,0.012259226728929207,0.031973086,0.2,0.9440188407897949,128.86,2416,-0.014346231881063432,,
310272,394,787,606,0.00025,-0.8695942312479019,3.5804007053375244,-0.04514758288860321,0.16748046875,0.011952180502703413,0.028250795,0.2,0.9390262365341187,128.7,2420,-0.02132026880281046,,
310784,394,788,607,0.00025,-0.8195809032768011,3.573500394821167,-0.06674181669950485,0.22509765625,0.009291973779909313,0.038447715,0.2,0.969825029373169,129.92,2424,-0.021781843359349295,,
311296,394,789,608,0.00025,-0.8766679167747498,3.5736000537872314,-0.03445572033524513,0.2109375,0.012930180586408824,0.03805671,0.2,0.9401145577430725,129.84,2428,-0.022831537702586502,,
311808,394,790,609,0.00025,-0.8016450125724077,3.574700355529785,-0.04191736504435539,0.150390625,0.007998976994713303,0.032265007,0.2,0.9661391973495483,129.88,2432,-0.016831494926009327,,
312320,394,792,610,0.00025,-0.7588769420981407,3.5739004611968994,-0.06297511607408524,0.18310546875,0.0023397315853799228,0.030045936,0.2,0.9922041893005371,129.62,2436,-0.02182792971143499,,
312832,394,793,611,0.00025,-0.7579875104129314,3.572200298309326,-0.020707570016384125,0.1982421875,0.0016170322815014515,0.03345923,0.2,0.9956697225570679,129.68,2440,-0.019883223954821005,,
313344,394,794,612,0.00025,-0.7594106905162334,3.5716004371643066,-0.04966171085834503,0.13720703125,0.0030124351287668105,0.0231596,0.2,0.9915443658828735,129.92,2444,-0.022003865975420922,,
313856,394,796,613,0.00025,-0.7610327079892159,3.572000026702881,-0.04308100417256355,0.14794921875,0.006708362874633167,0.03720469,0.2,0.9732028245925903,129.48,2448,-0.01576457975897938,,
314368,394,797,614,0.00025,-0.7432070355862379,3.57099986076355,-0.04522744566202164,0.12060546875,0.0018822438632923877,0.018406453,0.2,0.9938825964927673,129.56,2452,-0.00925118348095566,,
314880,394,798,615,0.00025,-0.7678557094186544,3.572200059890747,-0.023373181000351906,0.17626953125,0.004268711629265454,0.038601182,0.2,0.9867724776268005,129.92,2456,-0.024192291835788637,,
315392,394,799,616,0.00025,-0.7823571395128965,3.5754997730255127,-0.039005376398563385,0.19140625,0.007872854723245837,0.035397165,0.2,0.9562847018241882,129.88,2460,-0.032034899457357824,,
315904,394,801,617,0.00025,-0.7566907536238432,3.575500249862671,-0.053442537784576416,0.15234375,0.002986466875881888,0.028295603,0.2,0.9894227981567383,130.42,2464,-0.018284708843566477,,
316416,394,802,618,0.00025,-0.7793601714074612,3.5768003463745117,-0.05673021078109741,0.19677734375,0.006746651051798835,0.046253517,0.2,0.9687306880950928,130.36,2468,-0.026501578220631927,,
316928,394,803,619,0.00025,-0.7575847655534744,3.5768003463745117,-0.03625413402915001,0.1611328125,0.003170157473505242,0.056551106,0.2,0.9894421696662903,130.24,2472,-0.01058044855017215,,
317440,394,804,620,0.00025,-0.7605613544583321,3.575200080871582,-0.04784705117344856,0.15625,0.0017955910643649986,0.0183511,0.2,0.9943641424179077,130.34,2476,-0.01348822022555396,,
317952,394,806,621,0.00025,-0.7673254143446684,3.576200008392334,-0.06977441906929016,0.1630859375,0.004393912691739388,0.020063221,0.2,0.980751097202301,130.38,2480,-0.023742562509141862,,
318464,394,807,622,0.00025,-0.7295527532696724,3.5764000415802,-0.06132438778877258,0.1484375,0.0028806314221583307,0.03505311,0.2,0.992445170879364,130.16,2484,-0.019699129567015916,,
318976,394,808,623,0.00025,-0.7706698719412088,3.575700044631958,-0.009676664136350155,0.162109375,0.002766126759524923,0.02257706,0.2,0.9877781867980957,129.88,2488,-0.01164725495618768,,
319488,394,810,624,0.00025,-0.7688013408333063,3.5738003253936768,-0.046193625777959824,0.19384765625,0.0019014653698832262,0.03598077,0.2,0.992766797542572,130.22,2492,-0.022573139693122357,,
320000,,,,0.00025,-0.7502094618976116,,-0.05752943456172943,0.16552734375,0.0038042025844333693,0.047443956,0.2,0.9864012002944946,,2496,-0.023915171390399337,3.679999828338623,112.0
320000,393,812,625,,,3.6266002655029297,,,,,,,126.44,,,,
320512,393,813,626,0.00025,-0.7124005295336246,3.678800106048584,-0.037989541888237,0.177734375,0.0019205941825930495,0.026002584,0.2,0.9937208294868469,122.64,2500,-0.0131132029928267,,
321024,394,814,627,0.00025,-0.727535143494606,3.681300401687622,-0.017373476177453995,0.13623046875,0.006367551559378626,0.021857357,0.2,0.97087562084198,122.22,2504,-0.014521943783620372,,
321536,394,816,628,0.00025,-0.7172397505491972,3.6859002113342285,-0.011786234565079212,0.1220703125,0.0036054173579032067,0.03370738,0.2,0.983508825302124,120.88,2508,-0.00789472577162087,,
322048,394,817,629,0.00025,-0.7118893880397081,3.6860997676849365,-0.061514824628829956,0.13134765625,0.0017106778523157118,0.018011967,0.2,0.9946977496147156,120.46,2512,-0.015698830015026033,,
322560,394,818,630,0.00025,-0.7131356857717037,3.6932997703552246,-0.07209594547748566,0.17529296875,0.004185249374131672,0.03645379,0.2,0.9806341528892517,118.46,2516,-0.018781114544253796,,
323072,394,819,631,0.00025,-0.6483692210167646,3.6936001777648926,-0.027252687141299248,0.1708984375,0.0016950454883044586,0.032888185,0.2,0.9937689900398254,118.18,2520,-0.015696026443038136,,
323584,394,821,632,0.00025,-0.6540265046060085,3.691199541091919,-0.034697454422712326,0.14013671875,0.0017272623845201451,0.036061283,0.2,0.9917542338371277,118.16,2524,-0.018638668378116563,,
324096,394,822,633,0.00025,-0.6349462810903788,3.6915998458862305,-0.02359362505376339,0.1806640625,0.004080219950992614,0.035195895,0.2,0.9796335697174072,118.62,2528,-0.020442824839847162,,
324608,394,823,634,0.00025,-0.6793539635837078,3.6932997703552246,-0.03243037685751915,0.1826171875,0.005192765383981168,0.047483604,0.2,0.9713529944419861,118.92,2532,-0.022444657515734434,,
325120,394,824,635,0.00025,-0.6851078346371651,3.6935999393463135,-0.0560549758374691,0.14794921875,0.004871950135566294,0.023579454,0.2,0.9778409004211426,119.28,2536,-0.01926843699766323,,
325632,394,826,636,0.00025,-0.6612853351980448,3.694000005722046,-0.02252666838467121,0.1318359375,0.0038886097536305897,0.022625469,0.2,0.9823317527770996,118.7,2540,-0.02157778196851723,,
326144,394,827,637,0.00025,-0.6558735780417919,3.6937997341156006,-0.03435596451163292,0.1484375,0.0021364986878325,0.030656807,0.2,0.9922031760215759,118.56,2544,-0.019392869755392894,,
326656,394,828,638,0.00025,-0.6745406314730644,3.696199655532837,-0.06118222698569298,0.1767578125,0.002918138248787727,0.036732536,0.2,0.9929465055465698,118.36,2548,-0.020793159201275557,,
327168,394,829,639,0.00025,-0.6390619166195393,3.691999912261963,-0.03750528767704964,0.13134765625,0.0017779526679078117,0.027658578,0.2,0.9953266382217407,117.76,2552,-0.011565915774554014,,
