time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1161,369,5.842799663543701,838,429056,118.6,3348,-0.01756521686911583,0.9698839783668518,0.1953125,-0.7712388131767511,0.2,0.04786474,-0.06775873154401779,0.015003186010289937,0.00025,,
1162,369,5.830499172210693,839,429568,117.88,3352,-0.022185020032338798,0.9834678173065186,0.17578125,-0.7751475162804127,0.2,0.036795273,-0.06011325120925903,0.010778870768263005,0.00025,,
1164,369,5.7754998207092285,840,430080,118.0,3356,-0.020188309732475318,0.9637491106987,0.17724609375,-0.7424699272960424,0.2,0.03397146,-0.03237709775567055,0.019928743335185573,0.00025,,
1165,369,5.790599346160889,841,430592,117.48,3360,-0.008865139214321971,0.8702359199523926,0.29296875,-0.8509642444550991,0.2,0.048952952,0.06146959960460663,0.16634312854148448,0.00025,,
1166,369,5.797999382019043,842,431104,118.0,3364,-0.012099693063646555,0.9851451516151428,0.228515625,-0.6985251195728779,0.2,0.030748034,-0.04829005151987076,0.01701587725256104,0.00025,,
1167,369,5.820199489593506,843,431616,117.1,3368,-0.011806588910985738,0.9666280746459961,0.21435546875,-0.8247382864356041,0.2,0.038069192,-0.027807503938674927,0.039672167506068945,0.00025,,
1169,369,5.8349995613098145,844,432128,116.86,3372,-0.027824351855088025,0.9739865660667419,0.21142578125,-0.7566975299268961,0.2,0.044633105,-0.05018076300621033,0.021855279162991792,0.00025,,
1170,369,5.877198696136475,845,432640,118.06,3376,-0.026507230766583234,0.9796208739280701,0.28173828125,-0.8222626633942127,0.2,0.04311893,-0.04738636314868927,0.032361486984882504,0.00025,,
1171,369,5.892098426818848,846,433152,118.8,3380,-0.020626735466066748,0.9700013995170593,0.21533203125,-0.7622781619429588,0.2,0.042865403,-0.05215948820114136,0.01599450016510673,0.00025,,
1173,369,5.905299186706543,847,433664,118.62,3384,-0.007327363331569359,0.909893810749054,0.3408203125,-0.9488900490105152,0.2,0.05132412,-0.059367865324020386,0.07461520517244935,0.00025,,
1174,369,5.927699565887451,848,434176,118.54,3388,-0.018526262661907822,0.9245103001594543,0.28076171875,-0.9239643029868603,0.2,0.054395095,-0.05145252123475075,0.04003970621852204,0.00025,,
1175,369,5.909599781036377,849,434688,118.66,3392,-0.014169480215059593,0.87934809923172,0.26611328125,-0.9104344546794891,0.2,0.05583229,-0.027977116405963898,0.03514429391361773,0.00025,,
1177,369,5.903298854827881,850,435200,120.32,3396,-0.02255072264233604,0.932050347328186,0.2607421875,-0.8715477380901575,0.2,0.06596531,-0.054715901613235474,0.03098727233009413,0.00025,,
